"","parameter","location","date","Survival","Estimate","SE","CI95_lo","CI95_hi"
"1","Survival Probability","River","10/16/2024","",0.996953017767912,0.00916874584557238,0.968005109950602,0.999993172897452
"2","Survival Probability","River","10/24/2024","",0.954310369798176,0.0263667272845821,0.886261508977966,0.987336946591397
"3","Survival Probability","River","11/1/2024","",0.961619687467095,0.037058776921229,0.857085602382842,0.996418555878728
"4","Survival Probability","River","12/27/2024","",0.715835601787915,0.0872712960917458,0.525250270470977,0.866077718918781
"5","Survival Probability","River","3/17/2025","",0.647761025249639,0.11252498180327,0.413059769235533,0.841117413469828
"6","Survival Probability","River","5/19/2025","",0.850437737062224,0.0890554979717798,0.631797352705565,0.969142074087619
"7","Survival Probability","River","6/11/2025","",0.707859216021092,0.114265448413394,0.455173758323099,0.892669426140234
"8","Survival Probability","River","7/22/2025","",0.810182922074572,0.111684426539229,0.535342659400689,0.961295700332804
"9","Survival Probability","River","9/8/2025","",0.735938988607433,0.141046828132516,0.40731435549469,0.941319565167614
"10","Survival Probability","River","9/24/2025","",0.701719387096347,0.156516213771446,0.345617884073423,0.937360209586133
"11","Survival Probability","River","10/10/2025","",0.958794250008659,0.10329434717191,0.629540191795942,0.999907583382852
"12","Survival Probability","River","10/22/2025","",0.9563536433678,0.104473296541442,0.620715284919873,0.999912890732276
"13","Survival Probability","River","10/29/2025","",0.929875924805406,0.148285046908802,0.461042720034455,0.999837739766504
"14","Survival Probability","Lake","10/16/2024","",0.988947068630049,0.0313954681415433,0.886787687564372,0.999976017340701
"15","Survival Probability","Lake","10/24/2024","",0.991453076739345,0.0258944600054626,0.906466077365197,0.999982126951334
"16","Survival Probability","Lake","11/1/2024","",0.991119442886609,0.017975255218011,0.936601492997279,0.999977460714491
"17","Survival Probability","Lake","12/27/2024","",0.967665410381551,0.0258315203041549,0.898405223530053,0.996164109837841
"18","Survival Probability","Lake","3/17/2025","",0.84290157659907,0.0482513328584751,0.735647611148474,0.920935740486086
"19","Survival Probability","Lake","5/19/2025","",0.940276246282878,0.0389706304656103,0.838629319927744,0.988307546744971
"20","Survival Probability","Lake","6/11/2025","",0.925868768855164,0.0589072573416369,0.770653067339911,0.992034030303054
"21","Survival Probability","Lake","7/22/2025","",0.674546781682997,0.0879052886675158,0.493449246162315,0.833734285441641
"22","Survival Probability","Lake","9/8/2025","",0.933038529161152,0.0610631787121694,0.765348077914025,0.99384766143655
"23","Survival Probability","Lake","9/24/2025","",0.785735731060279,0.102382094899222,0.550923462418973,0.938759280578999
"24","Survival Probability","Lake","10/10/2025","",0.785085901139783,0.121370869303863,0.497287071425908,0.955072292226743
"25","Survival Probability","Lake","10/22/2025","",0.973404287395961,0.0740234568762716,0.73559362385447,0.999951682381473
"26","Survival Probability","Lake","10/29/2025","",0.967857700921842,0.0825427384935006,0.696791503633046,0.999942860275531
"27","Detection Probability","River","","Dead",0.893311661746377,0.0199937379576006,0.850104860406312,0.927644985348611
"28","Detection Probability","River","","Alive",0.82568565257693,0.0239763026331246,0.775028435174244,0.8685445510602
"29","Detection Probability","Lake","","Dead",0.691462790316027,0.031038518937816,0.629399572940961,0.750116208476493
"30","Detection Probability","Lake","","Alive",0.833598289055789,0.020831781591897,0.789986313403786,0.872428434296236
