"","inside_lake","outside_lake","p_lake","inside_spawnarea","outside_spawnarea","p_spawnarea"
"2024-09-28",10,42,"0.19 (0.06)",37,15,"0.71 (0.06)"
"2024-09-29",0,48,"0.00 (0.00)",48,0,"1.00 (0.00)"
"2024-10-16",19,73,"0.21 (0.04)",54,38,"0.59 (0.05)"
"2024-10-24",18,44,"0.29 (0.06)",27,35,"0.44 (0.06)"
"2024-11-01",50,26,"0.66 (0.05)",2,74,"0.03 (0.02)"
"2024-12-27",57,15,"0.79 (0.05)",2,70,"0.03 (0.02)"
"2025-03-17",43,10,"0.81 (0.05)",4,49,"0.08 (0.04)"
"2025-05-19",39,13,"0.75 (0.06)",2,50,"0.04 (0.03)"
"2025-06-11",23,8,"0.74 (0.08)",1,30,"0.03 (0.03)"
"2025-07-22",14,7,"0.67 (0.11)",0,21,"0.00 (0.00)"
"2025-09-08",15,5,"0.75 (0.10)",1,19,"0.05 (0.05)"
"2025-09-24",5,4,"0.56 (0.18)",0,9,"0.00 (0.00)"
"2025-10-10",5,3,"0.62 (0.18)",0,8,"0.00 (0.00)"
"2025-10-22",7,3,"0.70 (0.15)",0,10,"0.00 (0.00)"
"2025-10-29",7,3,"0.70 (0.15)",0,10,"0.00 (0.00)"
